Changes in Health Seeking Behaviors,Responses,Percent of Cases
 Consistency and security of medications,20,29%
 Easier access to grocery stores/restaurants,6,9%
 Easier to access medication I need,22,32%
 Easier to get to appointments,32,47%
 Easier to make an appointment,29,43%
 Go the doctor more often,22,32%
" Have more time to take care of myself (ex: exercise, consistent hygienic routines, etc.)",33,49%
 Increased access to knowledge around healthy eating,11,16%
 Increased support network,9,13%
 Less emergency room use,7,10%
 Living conditions are healthier,38,56%
 No Impact,3,4%
 Unsure,2,3%
Other ,1,1.50%
